baseMean	log2FoldChange	lfcSE	pvalue	padj
a	171.442776845024	-0.0592781529838079	0.196985755716195	0.756726235295484	0.828748297747681
abd-A	215.003938491058	-0.739571536006169	0.163376362624568	4.29890618089039e-06	1.8282372818507e-05
Abd-B	676.843187152723	-0.13500990389148	0.11144726208165	0.222011724577368	0.319488484800588
abo	187.116507590122	0.672703570204461	0.151705848231262	7.22636568049421e-06	2.98799807691561e-05
Ace	204.783299579957	0.97199254363174	0.189725195743812	1.73447361804495e-07	8.78676708302052e-07
Acph-1	633.324387977294	0.241402437050858	0.0995789583033663	0.014659053017303	0.0320400802367266
nAChRalpha1	4.96677437984294	-0.20803591083445	0.643932125360582	0.670847366212208	0.758080453659924
mAChR-A	0.71265348507806	-0.146946556247753	0.998034221001756	0.548519041035038	NA
nAChRalpha2	0.699387796904315	0.332097675241938	1.04074995185577	0.52939426269877	NA
Pfas	275.458878358228	0.563287093229857	0.15133428953346	0.00016646077565004	0.000554431773124357
Gart	1466.45210288665	-0.476848061065362	0.104832555938438	4.78216541665049e-06	2.01907750295449e-05
Adh	451.203648658263	1.57866742952453	0.187684130287396	1.18471213563648e-17	1.35263529720417e-16
Adhr	30.1331068673483	4.50748498284474	0.919660683560792	3.34352278925006e-07	1.63079841497482e-06
adp	422.037662212015	0.353008621265175	0.100369835071949	0.000411430193901781	0.00127851050037971
al	0	NA	NA	NA	NA
Mps1	1.23382458093193	-0.501073768730032	1.01768330764313	0.284304501213796	0.389733446408817
Ald1	3524.33430610878	-0.00649773157599912	0.0807729383052988	0.964453430382922	0.9772347547829
Ama	0	NA	NA	NA	NA
amd	5.73198128165616	1.84023136196408	0.86354686933975	0.00595157099076901	0.0143214385486733
AnxB9	1193.94639774973	-0.278827582594053	0.114967792225147	0.0145712557439009	0.0319123930520226
Anp	84399.6553714632	-0.484170659269225	0.313944304468361	0.103192827976851	0.170397017141362
aop	321.52804780655	0.0034112617821716	0.168665042587588	0.985243577169624	0.989276661930255
RpLP0	24423.3641820825	0.273411094028672	0.053416080988243	3.12897153126384e-07	1.53501287249873e-06
Aprt	143.971646776828	0.366666688254881	0.144970891907159	0.0106636484876035	0.0241688176154208
Arl1	380.11307511014	0.221016675605122	0.150836973400688	0.138730168415413	0.21710314892587
Argk	2324.71693008925	0.020362079286441	0.0657162571944853	0.756780690175576	0.828748297747681
arr	257.318658086405	0.309989812710647	0.194783768130248	0.105392645591537	0.173426893979236
asp	0.540080988203724	0.118090398295102	0.991902435572971	0.728685423965687	NA
aub	29.9481562184858	-4.5865288814697	0.998138058647952	3.6521139439108e-06	1.56190519850943e-05
aurA	1.40864307904874	1.07155834475941	1.69016195846445	0.0424170603304281	0.080393650735936
awd	1611.8424506643	1.06541840350981	0.188184162648348	7.90166638810093e-09	4.57610595697787e-08
b	8.96631109465698	3.08024119515697	0.705534045748134	1.5324949571863e-06	6.89532050558855e-06
Dll	0.0943009029804045	-0.118511648634019	1.02332836522757	0.683691815901371	NA
bam	1.09027479801386	-0.0253792978262766	1.01582323886252	0.948227680382108	0.967396559368583
bib	0.180717149679635	0.162144540280515	1.03071974465794	0.574459604755501	NA
bic	7093.86191271637	0.0245548654647485	0.0550347327435248	0.651994813579263	0.742959472869281
BicC	0.933755655496872	0.222486695674686	0.974109416667889	0.592533991814166	NA
BicD	1187.61327814513	-0.169505885414087	0.0838988421133071	0.0386571311266957	0.0742857783895361
boss	1.31714210745452	0.108079375184104	0.900434102748729	0.798285269337786	0.86003983962093
brm	492.865576080113	-0.168924296464385	0.127864965033302	0.183198650173767	0.272397836511796
Brd	0	NA	NA	NA	NA
Bsg25A	0	NA	NA	NA	NA
Bsg25D	1023.80377648664	0.341473812697006	0.108125411569659	0.00151875442053788	0.00422252600137845
bsk	58.7612127535451	-0.432605413881794	0.308413991803742	0.141166899149882	0.220326991201909
bur	806.273434724036	-0.13155278730979	0.0937484794342501	0.158290850203393	0.241778165548837
by	1701.01013883212	-0.346010694547541	0.149672929044439	0.0191365558761524	0.0403593092231259
c(3)G	26.663047473678	0.127253799961822	0.344104529804875	0.695876518674617	0.778864351711826
ca	340.209055226611	-0.214375670953352	0.187401450607422	0.243571617400353	0.343876453529945
cact	380.040704394492	0.0722375328287456	0.139652836069803	0.603442947717544	0.702584623249764
cad	0.386335805491637	0.0144758704223834	0.988617638745302	0.974590130837936	NA
Cam	3110.0097396514	0.474853208875465	0.0517083468898033	2.99413317004522e-20	3.99427870614453e-19
capu	242.504733042945	0.718777913735349	0.266970224932549	0.00517561155213841	0.0126993708430011
Cat	642.892125142178	0.0552131539154601	0.0960644957505509	0.560273314355356	0.664947445350105
