baseMean	log2FoldChange	lfcSE	pvalue	padj
a	171.442776845024	-0.198410226714391	0.195299931513435	0.252358794925369	0.412143481661709
abd-A	215.003938491058	0.721039025333458	0.163214625766406	2.60740252151862e-06	2.2060025922177e-05
Abd-B	676.843187152723	-0.0130550293544959	0.112293070331463	0.903616393848915	0.945878369067581
abo	187.116507590122	0.125278193962692	0.157428130842166	0.395762394998659	0.565287852521647
Ace	204.783299579957	0.0172483253927778	0.185839760159	0.917129922161825	0.955880675970974
Acph-1	633.324387977294	-0.340527990003532	0.105475319875471	0.000846263006781098	0.00402069679357418
nAChRalpha1	4.96677437984294	-3.63006067587447	2.44985415541476	0.00156066799540034	0.00687065286801547
mAChR-A	0.71265348507806	-0.0462572863361649	0.436144776128692	0.335472651862764	NA
nAChRalpha2	0.699387796904315	-0.00330698176788177	0.433016887698469	0.6822599399652	NA
Pfas	275.458878358228	0.543488218392094	0.158366643942609	0.000264822733182479	0.00146322441712283
Gart	1466.45210288665	-0.110796685948215	0.104329600789568	0.280808239554043	0.444528242790092
Adh	451.203648658263	1.33847961727758	0.193526684043028	4.64391444437786e-13	1.11966586571266e-11
Adhr	30.1331068673483	0.179697205340388	0.455592106735294	0.224895820817052	0.380674223613584
adp	422.037662212015	-0.26270832898944	0.109094353390066	0.0126847110439382	0.0406897037634059
al	0	NA	NA	NA	NA
Mps1	1.23382458093193	-0.0516420745173993	0.425911895759798	0.588281125055559	NA
Ald1	3524.33430610878	0.128049356508702	0.0807715898830273	0.105359823972579	0.219037528785098
Ama	0	NA	NA	NA	NA
amd	5.73198128165616	-0.29288491679444	0.541971934692825	0.0728525854934749	0.16499033238016
AnxB9	1193.94639774973	-0.29252344321212	0.116026334759253	0.0085816411439334	0.0292595349563129
Anp	84399.6553714632	0.657582853934638	0.328733587008715	0.0109061116307697	0.0359152039778696
aop	321.52804780655	0.633284429828812	0.174068280523295	8.69644822762709e-05	0.000532836836125073
RpLP0	24423.3641820825	0.412245502727483	0.0535832917584729	1.01163898311966e-14	3.10431036720934e-13
Aprt	143.971646776828	0.309259607080365	0.15393431466808	0.0312393435941906	0.0843169871002839
Arl1	380.11307511014	-0.291134107227013	0.154376004810121	0.0424903588385902	0.107507122567418
Argk	2324.71693008925	-0.108774747411091	0.0676978492115669	0.103375377260945	0.215939676945085
arr	257.318658086405	0.362386653876553	0.195757128745398	0.0384792427222254	0.0993556524531453
asp	0.540080988203724	-0.0301733339220099	0.43371442455465	0.704508042420072	NA
aub	29.9481562184858	2.59146445488036	0.369834877112907	1.73797396902456e-13	4.51265548740432e-12
aurA	1.40864307904874	-0.0348271243651046	0.432400444316935	0.97665859473222	0.988236370688304
awd	1611.8424506643	1.66076325792457	0.191040942413969	2.83060564442447e-19	1.46993549059413e-17
b	8.96631109465698	-0.206098247015001	0.460489663146248	0.236616412312029	0.394358877506593
Dll	0.0943009029804045	-0.0177898509148672	0.433147037980536	0.881598171883247	NA
bam	1.09027479801386	0.0668990589892253	0.440176389630473	0.138945573444529	NA
bib	0.180717149679635	-0.00148871249872007	0.433193148712212	0.831838351897674	NA
bic	7093.86191271637	0.688881952236901	0.0554876219034268	6.14144174263416e-36	8.44561970014838e-34
BicC	0.933755655496872	-0.0626975913159826	0.437153037173329	0.412264864599594	NA
BicD	1187.61327814513	-0.350627703541526	0.0869757398986148	3.38102797972526e-05	0.000228828453553087
boss	1.31714210745452	-0.0227110397876122	0.426116324057465	0.803458950263631	0.880012708651582
brm	492.865576080113	0.0838434703171188	0.127055750485663	0.489772830835216	0.651334713786231
Brd	0	NA	NA	NA	NA
Bsg25A	0	NA	NA	NA	NA
Bsg25D	1023.80377648664	-0.162176524930811	0.109590667106563	0.124647205363475	0.246703130871313
bsk	58.7612127535451	-0.359694695203438	0.306446185313731	0.120161701872368	0.240454774430753
bur	806.273434724036	0.0827102285348373	0.0952943780281382	0.378546971438049	0.547437158695025
by	1701.01013883212	0.853264265139263	0.152056664547211	4.17085942438491e-09	5.81103228620681e-08
c(3)G	26.663047473678	-0.0871181438022998	0.300994076898614	0.689485058744939	0.801395530793539
ca	340.209055226611	-0.211663422993698	0.182954595480809	0.203564904863551	0.35397460632789
cact	380.040704394492	0.347757821684152	0.142133836252411	0.00937685527825893	0.0316224011336743
cad	0.386335805491637	-0.0234553308191088	0.433296504084175	0.824933211645946	NA
Cam	3110.0097396514	0.0220763692943702	0.054222066002402	0.687455844138604	0.799913365492521
capu	242.504733042945	-0.714610841055135	0.287276839833078	0.00300217145645701	0.0121032167403093
Cat	642.892125142178	0.0921657498068269	0.0989281170697818	0.334661467590754	0.50220739930672
Pka-C1	1512.95935679331	-0.586766776677406	0.126937105982202	1.40052386274944e-06	1.25455852892369e-05
Pka-C2	0	NA	NA	NA	NA
CecB	0.16003998579869	0.0244309374120478	0.433612098734777	0.681524811136844	NA
Cp190	698.654481732808	-0.0592345259477673	0.0931015044122135	0.524553635229215	0.685015942216679
Cf2	456.07709390527	0.0466313502356115	0.152268742746015	0.740427465531102	0.837152003506997
salr	5.41040888003037	-0.192644105588236	0.479061490970508	0.116180522510219	0.234317371037721
cg	586.776255813423	-0.0709973739778006	0.11856167862253	0.524103605800259	0.68496891528911
Col4a1	546.468044014623	0.947684467878039	0.218223285017389	2.28239933315281e-06	1.96170109351768e-05
ChAT	0.433853910631193	0.0448755547202266	0.434470530420793	0.515001932178814	NA
chif	446.193826178987	0.163038533340884	0.189342707387839	0.34153732473019	0.509493003906467
chic	845.460894967056	-0.308321900720609	0.0969234688551378	0.00111585273407529	0.00512450365073785
ck	922.869455882432	0.0185979042810221	0.19191529744688	0.90972213994988	0.950956730189726
cl	427.629541803248	0.131877653979346	0.142347801261096	0.326265122673054	0.493752761559017
eya	5.11305236783583	0.279130504840495	0.519428987837534	0.109213961767771	0.22445795877153
clt	103.283971088004	-0.0719131671111885	0.216688431684382	0.704016290857099	0.809667798653372
cn	15.0370214705999	0.0972880712525218	0.344209632146894	0.653869597746758	0.777274793159504
cni	78.1049091892476	0.0325741264884604	0.216476579096813	0.864569458739519	0.919318408439073
cort	1.57853738410098	0.0938187431208585	0.439101955753448	0.30036671816324	0.465273935978352
cos	68.4914051996245	-0.108362790228708	0.203800268904517	0.547939765940369	0.702086820213979
Cp15	0.322661422177799	-0.00156759965587704	0.433186128875686	0.83183993647873	NA
Cp16	0	NA	NA	NA	NA
Cp19	0	NA	NA	NA	NA
crc	15120.3965451963	0.146935473647122	0.0743980218812396	0.0485382943113115	0.119628680172103
cta	531.536934844163	0.179863503544589	0.0853443958134372	0.031093031311287	0.0839930340187768
cv-2	22.8200340638918	-0.474862675239322	0.420254277425329	0.0783264754196699	0.174670392332273
CycA	38.2607094888572	0.21357538528919	0.256200113630543	0.307807620186966	0.474091918537513
CycB	0.475017636335766	0.0180279675613385	0.430414719688207	0.762615289730153	NA
Cyt-b5-r	24.2763020504789	0.151981250663079	0.331145309203581	0.498041422870925	0.659849349908919
D	3.29721293920607	-0.0236183750113772	0.408596579096416	0.863275324166972	0.918830809411486
D1	1199.78744286294	0.484469148147114	0.0724035769871326	1.18940331863752e-11	2.36796489120703e-10
Dab	645.805826267994	0.84928002971518	0.229473296906635	4.03217054645723e-05	0.000268305541917486
Sap-r	11381.1472596263	0.120927260870999	0.089268873635289	0.16974459179823	0.31055021894399
Ddc	67.3714016313553	-0.761460989542437	0.209375674627117	6.21508335098585e-05	0.000392793267782306
SmF	102.790145508117	0.289197352954369	0.242818332343945	0.156728935951923	0.292209158518449
Dfd	0.144610311095561	-0.00153626585221116	0.433196290425783	0.831837731969535	NA
Dhod	505.434385962575	0.502634323381634	0.113044847181237	3.9279480740155e-06	3.19834894710955e-05
Hr3	1.48617024014425	-0.0961247198707465	0.435160264993683	0.35024938970049	0.519278229686074
dib	0.977163557400664	0.0940028392830132	0.443796261755934	0.220024934789182	NA
ect	15.8278683054748	0.0338633983097204	0.342124849595747	0.874296942358535	0.925520897213754
