baseMean	log2FoldChange	lfcSE	pvalue	padj
a	171.442776845024	0.345761566337381	0.211951218302038	0.0909475844427404	0.187385253411015
abd-A	215.003938491058	-1.69401762914184	0.183389569690483	5.12685666774116e-21	1.22384044749576e-19
Abd-B	676.843187152723	0.447169799744544	0.117266820394093	0.000114547017318	0.000568135684364996
abo	187.116507590122	0.331654071183991	0.169237761836518	0.0448711027535094	0.107906959711931
Ace	204.783299579957	0.840860342714117	0.20516408354837	2.17563190452215e-05	0.000122943452080453
Acph-1	633.324387977294	-0.126285776451258	0.111890512213931	0.253840473509769	0.411453148271822
nAChRalpha1	4.96677437984294	4.53550081853128	2.32338486105802	0.000386915893338906	0.00174145719026221
mAChR-A	0.71265348507806	-0.0115128865022598	0.804598264650364	0.997303158202248	NA
nAChRalpha2	0.699387796904315	0.344120489553659	0.880562366730283	0.223668915429391	NA
Pfas	275.458878358228	-0.165776272887991	0.160196058922045	0.291927640395898	0.455723349560859
Gart	1466.45210288665	0.890422641050754	0.107389881687958	4.73392412827693e-17	8.89840520923938e-16
Adh	451.203648658263	0.0789992712535258	0.184378745160111	0.662709612110146	0.791954269263077
Adhr	30.1331068673483	5.03385800300874	0.83925035937474	6.15921931162064e-10	6.20002125440375e-09
adp	422.037662212015	0.125750466862301	0.11667884356746	0.27576100336488	0.437061533235335
al	0	NA	NA	NA	NA
Mps1	1.23382458093193	-0.357987881196514	0.877948488312624	0.251017156918853	0.408543205909352
Ald1	3524.33430610878	-0.00995004797509681	0.0823726349950377	0.888824631793726	0.940839128235731
Ama	0	NA	NA	NA	NA
amd	5.73198128165616	1.54108798668136	1.51959146326349	0.0264977975670038	0.0696324317866858
AnxB9	1193.94639774973	0.361441627499955	0.118875265494391	0.00210326452020664	0.00789942301942475
Anp	84399.6553714632	-0.652956570800084	0.315607356853367	0.0238216619797044	0.0638581376252358
aop	321.52804780655	0.196561165334343	0.170836003945186	0.237668709971292	0.392766596091865
RpLP0	24423.3641820825	-0.0867137204658822	0.0537305979933479	0.106097847230014	0.212359425705754
Aprt	143.971646776828	-0.568133808949155	0.173513234324415	0.000774604593764325	0.00328240768367233
Arl1	380.11307511014	-0.0737229638631583	0.162808237135291	0.640801169742042	0.775056683701053
Argk	2324.71693008925	0.695922766013619	0.0690258364102081	4.30966282926693e-24	1.27520137404393e-22
arr	257.318658086405	0.0106834211248627	0.200010505036817	0.958328169122775	0.989873880025675
asp	0.540080988203724	-0.0112010984345754	0.80465345868522	0.997521664797623	NA
aub	29.9481562184858	-6.11331441215111	0.993608596725464	1.51219227309064e-09	1.45642082539497e-08
aurA	1.40864307904874	0.256793711464938	0.832321152353319	0.414580196146752	0.579845989650256
awd	1611.8424506643	0.428661831297684	0.184687477297835	0.0171919629653518	0.0486501293804973
b	8.96631109465698	1.92524315925004	1.17460734530169	0.0165227615931231	0.0470472487075316
Dll	0.0943009029804045	-0.00601607846140843	0.805330715081449	0.998008899161311	NA
bam	1.09027479801386	-0.196714339668009	0.834860067137869	0.246588160330055	0.403140559598422
bib	0.180717149679635	-0.00646864817524164	0.805271744449267	0.998006686392693	NA
bic	7093.86191271637	-0.456140776809094	0.0559832004833085	2.94770533349341e-16	5.22529451144549e-15
BicC	0.933755655496872	-0.0121780195206131	0.80446701450309	0.996628914171835	0.999029501663311
BicD	1187.61327814513	-0.186632617906366	0.0911048762776838	0.0403392249385398	0.0988412621132611
boss	1.31714210745452	0.303220695535831	0.823845456180523	0.284325929059503	0.447415955127359
brm	492.865576080113	-0.268752122757114	0.135851511429289	0.0446333952584361	0.107568003066321
Brd	0	NA	NA	NA	NA
Bsg25A	0	NA	NA	NA	NA
Bsg25D	1023.80377648664	0.222385775225703	0.113772887427939	0.0490179871089417	0.11562836486262
bsk	58.7612127535451	0.156004419918	0.32623814404877	0.602697915596692	0.745398374956816
bur	806.273434724036	-0.00874250997304993	0.0998804740370066	0.927442090838449	0.967473773579734
by	1701.01013883212	-0.408014516188822	0.149866256275693	0.00551873511595276	0.0184986424304101
c(3)G	26.663047473678	0.560255652400771	0.393550906198693	0.103897132693547	0.208706114254306
ca	340.209055226611	0.219418564555196	0.194232690754458	0.244732581209962	0.401033680138119
