baseMean	log2FoldChange	lfcSE	pvalue	padj
a	171.442776845024	0.149019168791327	0.18692823261157	0.364103557151615	0.563055814317169
abd-A	215.003938491058	-0.169416101115576	0.170618484785631	0.272126608814867	0.467981896086005
Abd-B	676.843187152723	0.55392290506745	0.113973223104808	3.89981296567174e-07	4.50388974853473e-06
abo	187.116507590122	-0.171487678452713	0.148862280956257	0.211459796257294	0.39966924077543
Ace	204.783299579957	-0.079104121495306	0.172790934596749	0.609652435530357	0.765907458340116
Acph-1	633.324387977294	-0.710230426751339	0.106929807051633	7.80668893809579e-12	2.00596789115223e-10
nAChRalpha1	4.96677437984294	0.180414216335013	0.401209410606612	0.26700224900998	0.46158753622752
mAChR-A	0.71265348507806	-0.0275174964244971	0.389427834477545	0.704812782561967	NA
nAChRalpha2	0.699387796904315	0.0674284891505829	0.392850630775456	0.30688184366574	NA
Pfas	275.458878358228	-0.143478618443834	0.147342448288891	0.2896163141759	0.487684977113432
Gart	1466.45210288665	1.25242129500715	0.105974104358856	3.05352642023286e-33	6.87135975656037e-31
Adh	451.203648658263	-0.112939617614561	0.169314850578706	0.45781774392377	0.653045441102173
Adhr	30.1331068673483	1.61234453194931	0.524093800858319	0.000123045975379384	0.000840606635848489
adp	422.037662212015	-0.482628737643935	0.107766071427079	3.01385285963995e-06	2.91038638955608e-05
al	0	NA	NA	NA	NA
Mps1	1.23382458093193	-0.065189992214228	0.392840639535274	0.467577069466006	NA
Ald1	3524.33430610878	0.120072107333282	0.0803184836538013	0.127330766189708	0.278023601800873
Ama	0	NA	NA	NA	NA
amd	5.73198128165616	-0.381382071220518	0.589898530848648	0.0552239351468872	0.148369371346159
AnxB9	1193.94639774973	0.318110950617919	0.11534967320287	0.00371511590117905	0.0161335968901495
Anp	84399.6553714632	0.436993858458972	0.311026893588585	0.0554755937934789	0.148830115430049
aop	321.52804780655	0.835995088552462	0.173750614689795	2.51967990802567e-07	2.98423333285465e-06
RpLP0	24423.3641820825	0.0555780190150869	0.0531525389321564	0.306793667478873	0.506390258879331
Aprt	143.971646776828	-0.571804519766789	0.164287710180405	0.000155341249490206	0.00103181048185534
Arl1	380.11307511014	-0.581804306713872	0.15944151171586	8.12041465376636e-05	0.000574854139360048
Argk	2324.71693008925	0.562459301301204	0.0664606242286801	1.4039955461531e-17	7.61027074871015e-16
arr	257.318658086405	0.0901438802864787	0.180194654965905	0.580747917535436	0.744695586736172
asp	0.540080988203724	-0.0296187708153971	0.390223356187895	0.467660790488382	NA
