baseMean	log2FoldChange	lfcSE	pvalue	padj
ac	0	NA	NA	NA	NA
acj6	2.60791476015062	-0.0341398877815577	0.328844327447066	0.705670825694216	0.830490874907721
amx	191.286513278674	-0.0327180867363492	0.155456893973407	0.803799618456142	0.894233687978091
dyw	6.09151575485628	0.0975289929840347	0.330333557667103	0.439566278581407	0.612526834547284
arm	2834.53911384466	-0.159696795491555	0.0912721747712025	0.0641600995966753	0.16441025521648
ase	0	NA	NA	NA	NA
Axs	241.242035185006	-0.0297581264582153	0.153716994849415	0.827439957532694	0.906394151953753
baz	675.004705584673	0.211787403215522	0.146372169642787	0.108598789454444	0.241316214921349
ben	1324.70567610166	-0.199497459629246	0.0881642092500399	0.0182743165547528	0.0604940305264887
bi	0.105743697321372	-0.0146093476611793	0.339979375173178	0.816861365638806	NA
brn	98.8221977018657	0.0239814366358003	0.190973473869044	0.880634520315114	0.937470724519427
btd	0.115216378883196	0.0155680505855641	0.340003898508628	0.810469168531441	NA
car	199.972937200581	0.122796550871919	0.166393620816863	0.406308339281748	0.587754502892448
CkIIbeta	1253.10200050654	-0.217563618276173	0.0967074242607357	0.0182957555738649	0.0604940305264887
cin	457.619847172601	-0.202382997449016	0.135251495626228	0.101420540623754	0.230282398409949
Chc	4437.35685589299	-0.168326229212699	0.120602142448966	0.123796010064688	0.261671811844706
cm	520.52441632789	0.0286635059371771	0.131155524164493	0.81529463308681	0.899959844984287
comt	62.2449998448785	-0.247307596161916	0.237343687248578	0.168892584552116	0.327072683984191
Cp36	0.233944893448277	-0.000508417208787435	0.338943572916841	0.996712311204615	NA
Cp38	0.108413509195903	0.0153343644601061	0.339984702977213	0.810469168531441	NA
crm	194.907641775752	0.690131589244981	0.214021282068577	0.000215540168171936	0.00137466729478546
crn	335.873774693494	-0.0167885742745061	0.134329031714793	0.890619138938972	0.945333505481741
csw	2769.51303192513	0.0427039401262567	0.10892551768536	0.672958619306606	0.809470094811631
cv	48.9180080272261	-0.120420978967772	0.230294833193149	0.483544011578337	0.653992136300579
dec-1	0.104009252141054	-0.0015369547897316	0.33996304216838	0.996717008246416	NA
disco	90.3776199600216	0.333240511853502	0.286627773752597	0.094935096267858	0.219374980908818
dnc	1222.74323816625	0.094894456090049	0.12187564208781	0.404344830522802	0.585504371140485
dor	681.652347655401	-0.628487371191279	0.112760992216928	5.58832266292638e-09	9.21752071413719e-08
dsh	274.646701341637	-0.22997058220099	0.144764116686141	0.0782008010099725	0.190523173937709
dwg	237.168925922439	0.428708334822865	0.148675232065229	0.00150646638805222	0.00725429284179511
dx	265.923110164282	-0.031442882975969	0.142040428491929	0.806053170785406	0.894233687978091
eag	10.9490210975728	-0.11809895719011	0.348981570164252	0.282165879387756	0.462223786439988
eas	809.446327587332	0.0749354448465229	0.109209886969273	0.46902760604296	0.637362324499667
exd	2115.13485953032	-0.393730474626007	0.104905344963338	7.52454670519971e-05	0.00053454081791889
e(y)1	296.291883453384	-0.347890137816424	0.147640110641878	0.00906934756538983	0.0341588287567832
e(y)2	165.802720119645	0.217937817523986	0.220963966807321	0.207372446018383	0.374785214151611
Fas2	559.114733823417	-0.100433611255238	0.15667109112504	0.46847265513258	0.637211620962325
Fcp3C	9.53547795105538	-0.240489946383374	0.407838148479278	0.123218961637033	0.261180516911585
Actn	453.80454938469	-0.216565109347966	0.157072233198682	0.11943318652192	0.256566800387657
fliI	577.195152862347	-0.31486177969404	0.127152248049554	0.00748572731119805	0.029190268183612
flw	1141.55582300765	-0.130657358777371	0.11848960421354	0.237818308544301	0.410673011746175
fog	273.681634794493	0.211697500786807	0.212308874775003	0.211943677034346	0.380649782908994
gd	12.7783693343009	2.81095212499202	0.936841055092128	0.000114217023978242	0.000776784025634013
fs(1)K10	399.496170854471	-0.184534202944861	0.11809346842595	0.0929395200394338	0.215989975199097
png	4.6492728206221	-0.0666712755932943	0.331309483527334	0.516056883607505	0.683787283450388
fs(1)Ya	154.579554178108	0.0123904140522158	0.161057861702063	0.932025405611056	0.968931732884871
fs(1)Yb	16.2302005724302	-0.849499211084273	0.62705575580472	0.0105812507371286	0.0385383116948718
fu	111.183151860668	-0.030211442464044	0.196403327200184	0.849042075528351	0.915383454833346
fw	2.26365458431586	-0.0486512340699624	0.333062023725665	0.570575270493913	0.728447965443741
g	698.660349685111	-0.0247066968444147	0.112660556897438	0.802017581036991	0.894202912647927
Gbeta13F	976.801281104279	-0.22729419747803	0.112192718111111	0.0311924504476424	0.0913493191680956
Gs2	1253.45695151182	0.214142316117105	0.170565873596249	0.148187044123522	0.297826902405118
Hex-A	1441.0391119647	-0.391671915018105	0.117252829721929	0.000390247188269397	0.00233335297986077
hfw	1344.68435089781	0.337834803394043	0.0845029715348226	3.57276147878934e-05	0.000283254846522802
Hmr	131.535597438834	0.156067775786056	0.205585264120421	0.346619707179887	0.530842347708791
Hsc70-3	41730.9516880066	-0.934919235090989	0.122888139385017	3.47920017139061e-15	1.66421741531517e-13
if	636.59856162783	-0.179886692496033	0.194538130921193	0.261697050646358	0.440581605693877
kz	177.037325589403	0.107559400431872	0.195984479400151	0.504424900144272	0.673458119356099
Mybbp1A	473.96432036047	0.00383154474867698	0.166153786891591	0.980971181706855	0.995540060643095
egh	1516.50099272739	-0.0104941478284712	0.112893646485348	0.890148587672194	0.945333505481741
l(1)10Bb	165.513980614062	-0.0394144933674803	0.189703512188796	0.800923584197308	0.894202912647927
