baseMean	log2FoldChange	lfcSE	pvalue	padj
a	171.442776845024	-0.0173785923296753	0.192137447789098	0.922800401816857	0.955340266224014
abd-A	215.003938491058	0.832261957102009	0.163519916773332	1.441440616071e-07	1.1207274483235e-06
Abd-B	676.843187152723	0.324038030927698	0.110456449913368	0.00283847711249332	0.00949572369705201
abo	187.116507590122	-0.376830940359994	0.147967126954162	0.00867847258296774	0.0252839484754355
Ace	204.783299579957	-0.472347479459192	0.184160939747437	0.00711058851212662	0.0212527773652543
Acph-1	633.324387977294	-0.688833692536165	0.10110829573327	4.99244034859024e-12	6.87726746570294e-11
nAChRalpha1	4.96677437984294	-0.037102390169221	0.511729065783317	0.90027974016215	0.940217984369316
mAChR-A	0.71265348507806	-0.09132828093263	0.653024318511017	0.500333882048136	NA
nAChRalpha2	0.699387796904315	0.104207286622441	0.634487407410212	0.568333500684696	NA
Pfas	275.458878358228	-0.106772181426346	0.146336345453745	0.449242341421025	0.594093698115735
Gart	1466.45210288665	0.839747708027014	0.104689877880942	4.11397553128968e-16	8.52388826701002e-15
Adh	451.203648658263	-0.198340747220307	0.176745423794978	0.241203791950872	0.380173904197239
Adhr	30.1331068673483	0.638094773999285	0.458790717177308	0.0716102505477692	0.147727711656331
adp	422.037662212015	-0.594688050451784	0.101479836250836	3.18668555092096e-09	3.0947071429378e-08
al	0	NA	NA	NA	NA
Mps1	1.23382458093193	-0.0114919182472722	0.613352651734125	0.949145797829463	0.969866960367339
Ald1	3524.33430610878	0.0929838551213577	0.0803240164337396	0.242396471574767	0.381295566788276
Ama	0	NA	NA	NA	NA
amd	5.73198128165616	-1.9342609694277	0.953423563598416	0.00281663483866707	0.00943510630538521
AnxB9	1193.94639774973	0.128325164928127	0.11411765406596	0.25361774181147	0.395267331160979
Anp	84399.6553714632	0.885837229612954	0.324678582204391	0.00211429539371241	0.00735457555983034
aop	321.52804780655	0.719765150387633	0.167333998194126	8.19435378145395e-06	4.72044440561938e-05
RpLP0	24423.3641820825	0.0642974694181594	0.0532606260862376	0.241320426970714	0.380173904197239
Aprt	143.971646776828	-0.319033331686656	0.143121340956127	0.0219363285414036	0.0559279763471191
Arl1	380.11307511014	-0.598022708632564	0.152504853859439	4.91650421026603e-05	0.000247911790549488
Argk	2324.71693008925	0.226486158231543	0.0651777619366796	0.000585945631623924	0.00236996307599379
