baseMean	log2FoldChange	lfcSE	pvalue	padj
a	171.442776845024	-0.0726786130886981	0.191694313280106	0.685768320795278	0.783794124654637
abd-A	215.003938491058	0.0992422133642084	0.155200379818036	0.508722312698694	0.64080704325679
Abd-B	676.843187152723	0.190186150295009	0.110205063393826	0.07930976185186	0.153139672584288
abo	187.116507590122	0.273915289013909	0.152165951039931	0.0626280300949048	0.126018401916289
Ace	204.783299579957	0.45438567773917	0.189069475974697	0.0110913797758901	0.0294891090265274
Acph-1	633.324387977294	-0.446099297810348	0.101667397807667	8.45655115336626e-06	4.45315893145409e-05
nAChRalpha1	4.96677437984294	-0.158586125530526	0.505889084879511	0.586440044899706	0.707150349098853
mAChR-A	0.71265348507806	-0.0982053331293845	0.618169580767508	0.204984543951874	NA
nAChRalpha2	0.699387796904315	0.191271623233647	0.638907131627996	0.223301187130229	NA
Pfas	275.458878358228	0.440026179108701	0.15145021053193	0.00272909684332887	0.00861081012310073
Gart	1466.45210288665	0.362028624803204	0.103491609351369	0.000378666087838648	0.00145791237059498
Adh	451.203648658263	1.35729662738679	0.189595398481055	1.53609582380427e-13	2.15109993447655e-12
Adhr	30.1331068673483	5.42113711938528	0.916950144686955	1.46449859026263e-09	1.36304128278544e-08
adp	422.037662212015	-0.240511362408093	0.102626183108279	0.0172861163896519	0.0433618925637307
al	0	NA	NA	NA	NA
Mps1	1.23382458093193	-0.205920895770796	0.626412050864718	0.264929849495323	0.396603552246546
Ald1	3524.33430610878	0.0867285539739185	0.0804097896804769	0.261627149113875	0.392852687105377
Ama	0	NA	NA	NA	NA
amd	5.73198128165616	-0.0743696590805242	0.512780140693642	0.789085400548756	0.863463143728989
AnxB9	1193.94639774973	-0.144952620896404	0.113840395349565	0.194123731498459	0.312141436733831
Anp	84399.6553714632	0.38042631992622	0.301873028942707	0.148706546546939	0.252967467548752
aop	321.52804780655	0.720721012447338	0.168464934977225	8.48156466391894e-06	4.46015336821851e-05
RpLP0	24423.3641820825	0.335645722196682	0.0533788598414185	3.30129063408522e-10	3.28143973615477e-09
